region,subregion,country,pop,gdp
CAF,Middle Africa,Cameroon,20386799,110.57
CAF,Western Africa,Ghana,24658823,196.05
CAF,Northern Africa,Morocco,33087700,333.24
CAF,Western Africa,Senegal,13567338,64.81
CAF,Northern Africa,Tunisia,10833431,138.36
CONMEBOL,South America,Argentina,40117096,1083.36
CONMEBOL,South America,Brazil,201032714,3435.88
CONMEBOL,South America,Ecuador,15617900,208.6
CONMEBOL,South America,Uruguay,3286314,85.82
AFC,Eastern Asia,Japan,127290000,5310.17
AFC,Western Asia,Qatar,2024707,274.25
AFC,Western Asia,Saudi Arabia,29994272,1751.18
UEFA,Western Europe,Belgium,11175653,688.48
UEFA,Southern Europe,Croatia,4290612,134.69
UEFA,Northern Europe,Denmark,5623501,378.86
UEFA,Western Europe,France,65806000,3455.86
UEFA,Western Europe,Germany,80523700,4849.56
UEFA,Western Europe,Netherlands,16807300,1117.87
UEFA,Eastern Europe,Poland,38533299,1439.48
UEFA,Southern Europe,Portugal,10562178,372.19
UEFA,Southern Europe,Serbia,7181505,147.94
UEFA,Southern Europe,Spain,46704314,1925.18
UEFA,Western Europe,Switzerland,8085300,671.38
UEFA,Northern Europe,United Kingdom,63705000,3424.26
AFC,Australia and New Zealand,Australia,23254142,1437.17
CONCACAF,Northern America,Canada,35158304,2016.04
CONCACAF,Central America,Costa Rica,4667096,116.1
CONCACAF,Central America,Mexico,118395054,2480.68
CONCACAF,Northern America,United States,317101000,22996.1
