player,position,team,age
Aaron Mooy,MF,Australia,32
Aaron Ramsey,MF,Wales,31
Abdelhamid Sabiri,MF,Morocco,26
Abdelkarim Hassan,DF,Qatar,29
Abderrazak Hamdallah,FW,Morocco,32
Abdessamad Ezzalzouli,FW,Morocco,21
Abdou Diallo,DF,Senegal,26
Abdul Fatawu Issahaku,FW,Ghana,18
Abdulaziz Hatem,MF,Qatar,32
Abdulelah Al-Amri,DF,Saudi Arabia,25
Abdulellah Al-Malki,MF,Saudi Arabia,28
Abdullah Madu,DF,Saudi Arabia,29
Abdulrahman Al-Aboud,MF,Saudi Arabia,27
Abolfazl Jalali,DF,IR Iran,24
Achraf Dari,DF,Morocco,23
Achraf Hakimi,DF,Morocco,24
Adrien Rabiot,MF,France,27
Agustín Canobbio,MF,Uruguay,24
Ahmad Nourollahi,MF,IR Iran,29
Ahmed Alaaeldin,FW,Qatar,29
Aimen Dahmen,GK,Tunisia,25
Ajdin Hrustic,MF,Australia,26
Akram Afif,FW,Qatar,26
Alan Franco,MF,Ecuador,24
Alejandro Balde,DF,Spain,19
Aleksandar Mitrović,FW,Serbia,28
Alex Sandro,DF,Brazil,31
Alex Telles,DF,Brazil,30
Alexander Bah,DF,Denmark,25
Alexander Djiku,DF,Ghana,28
Alexis Mac Allister,MF,Argentina,23
Alexis Vega,FW,Mexico,25
Ali Abdi,DF,Tunisia,28
Ali Al Hassan,MF,Saudi Arabia,25
Ali Al-Bulaihi,DF,Saudi Arabia,33
Ali Assadalla,MF,Qatar,29
Ali Gholizadeh,MF,IR Iran,26
Ali Karimi,MF,IR Iran,28
Ali Maâloul,DF,Tunisia,32
Alidu Seidu,DF,Ghana,22
Alireza Beiranvand,GK,IR Iran,30
Alireza Jahanbakhsh,MF,IR Iran,29
Alisson,GK,Brazil,30
Alistair Johnston,DF,Canada,24
Almoez Ali,FW,Qatar,26
Alphonso Davies,MF,Canada,22
Amadou Onana,MF,Belgium,21
Anass Zaroury,FW,Morocco,22
Andre-Frank Zambo Anguissa,MF,Cameroon,27
Andreas Christensen,DF,Denmark,26
Andreas Cornelius,FW,Denmark,29
Andreas Skov Olsen,FW,Denmark,22
Andrej Kramarić,FW,Croatia,31
Andries Noppert,GK,Netherlands,28
Andrija Živković,DF,Serbia,26
André Ayew,MF,Ghana,33
André Onana,GK,Cameroon,26
André Silva,FW,Portugal,27
Andrés Guardado,MF,Mexico,36
Anis Ben Slimane,MF,Tunisia,21
Ansu Fati,FW,Spain,20
Ante Budimir,FW,Croatia,31
Anthony Contreras,FW,Costa Rica,22
Antoine Griezmann,MF,France,31
Antoine Semenyo,FW,Ghana,22
Antonee Robinson,DF,United States,25
Antonio Rüdiger,DF,Germany,29
Antony,FW,Brazil,22
António Silva,DF,Portugal,19
Ao Tanaka,MF,Japan,24
Ardon Jasari,FW,Switzerland,20
Arkadiusz Milik,FW,Poland,28
Artur Jędrzejczyk,DF,Poland,35
Asiri Haitham,FW,Saudi Arabia,21
Assim Madibo,MF,Qatar,26
Atiba Hutchinson,MF,Canada,39
Aurélien Tchouaméni,MF,France,22
Awer Mabil,MF,Australia,27
Axel Disasi,DF,France,24
Axel Witsel,MF,Belgium,33
Ayase Ueda,FW,Japan,24
Aymeric Laporte,DF,Spain,28
Aziz Behich,DF,Australia,32
Azzedine Ounahi,MF,Morocco,22
Aïssa Laïdouni,MF,Tunisia,26
Baba Rahman,DF,Ghana,28
Badr Banoun,DF,Morocco,29
Bailey Wright,DF,Australia,30
Bamba Dieng,FW,Senegal,22
Bartosz Bereszyński,DF,Poland,30
Bassam Al-Rawi,DF,Qatar,25
Ben Davies,DF,Wales,29
Benjamin Pavard,DF,France,26
Bernardo Silva,MF,Portugal,28
Bilal El Khannous,MF,Morocco,18
Borna Barišić,DF,Croatia,30
Borna Sosa,DF,Croatia,24
Boualem Khoukhi,DF,Qatar,32
Boulaye Dia,FW,Senegal,26
Brandon Aguilera,MF,Costa Rica,19
Breel Embolo,FW,Switzerland,25
Brenden Aaronson,MF,United States,22
Brennan Johnson,FW,Wales,21
Bruno Fernandes,FW,Portugal,28
Bruno Guimarães,MF,Brazil,25
Bruno Petković,FW,Croatia,28
Bryan Mbeumo,FW,Cameroon,23
Bryan Oviedo,DF,Costa Rica,32
Bryan Ruiz,MF,Costa Rica,37
Bukayo Saka,FW,England,21
Callum Wilson,FW,England,30
Cameron Carter-Vickers,DF,United States,24
Carlos Gruezo,MF,Ecuador,27
Carlos Martínez,DF,Costa Rica,23
Carlos Soler,MF,Spain,25
Casemiro,MF,Brazil,30
Celso Borges,MF,Costa Rica,34
Charles De Ketelaere,FW,Belgium,21
Charly Rodríguez,MF,Mexico,25
Cheikhou Kouyaté,MF,Senegal,32
Cho Guesung,FW,Korea Republic,24
Cho Yumin,FW,Korea Republic,26
Chris Mepham,DF,Wales,25
Christian Bassogog,MF,Cameroon,27
Christian Eriksen,MF,Denmark,30
Christian Fassnacht,FW,Switzerland,29
Christian Nørgaard,MF,Denmark,28
Christian Pulisic,FW,United States,24
Christopher Wooh,DF,Cameroon,21
Cody Gakpo,FW,Netherlands,23
Collins Fai,DF,Cameroon,30
Connor Roberts,DF,Wales,27
Craig Goodwin,MF,Australia,31
Cristian Romero,DF,Argentina,24
Cristiano Ronaldo,FW,Portugal,37
Cyle Larin,FW,Canada,27
César Azpilicueta,DF,Spain,33
César Montes,DF,Mexico,25
Daichi Kamada,FW,Japan,26
Daizen Maeda,FW,Japan,25
Daley Blind,DF,Netherlands,32
Damian Szymański,MF,Poland,27
Dani Alves,DF,Brazil,39
Dani Carvajal,DF,Spain,30
Dani Olmo,FW,Spain,24
Daniel Amartey,DF,Ghana,27
Daniel Chacón,MF,Costa Rica,21
Daniel James,FW,Wales,25
Daniel Kyereh,MF,Ghana,26
Danilo,DF,Brazil,31
Danilo Pereira,DF,Portugal,31
Danny Ward,GK,Wales,29
Darko Lazović,DF,Serbia,32
Darwin Núñez,FW,Uruguay,23
David Raum,DF,Germany,24
David Wotherspoon,MF,Canada,32
Davy Klaassen,MF,Netherlands,29
Dayot Upamecano,DF,France,24
DeAndre Yedlin,DF,United States,29
Declan Rice,MF,England,23
Dejan Lovren,DF,Croatia,33
Denis Odoi,DF,Ghana,34
Denis Zakaria,MF,Switzerland,26
Denzel Dumfries,DF,Netherlands,26
Devis Epassy,GK,Cameroon,29
Diego Godín,DF,Uruguay,36
Diogo Costa,GK,Portugal,23
