Argentina,Brazil,Croatia,England,France,Germany,Morocco,Netherlands,Portugal
23,31,31,21,27,29,26,28,27
24,30,31,30,31,24,32,23,19
30,30,30,23,22,19,21,32,28
21,22,24,28,24,30,23,29,28
24,25,28,29,26,27,24,26,37
31,30,33,29,24,23,22,25,31
25,39,27,27,20,27,22,21,23
28,31,33,28,35,26,29,20,23
24,29,27,32,23,26,18,32,21
22,33,22,28,29,36,29,31,28
25,29,22,19,24,30,25,23,23
28,29,20,27,26,28,30,28,29
35,25,25,32,23,29,33,27,27
24,25,24,32,26,23,26,30,24
31,25,37,27,25,27,25,25,20
24,28,30,25,23,27,32,24,27
34,21,27,23,36,26,26,28,39
30,30,29,22,25,33,29,31,23
34,25,28,28,24,18,26,30,28
29,26,29,24,29,32,24,19,28
28,25,25,,37,,27,,25
21,21,,,25,,31,,25
27,38,,,21,,25,,22
34,22,,,23,,22,,30
,35,,,,,,,
,24,,,,,,,
