team,goals,assists,cards_yellow,cards_red,xg,npxg,xg_assist,gk_goals_against,crosses,throw_ins,corner_kicks,fouls
Argentina,15,8,17,0,15.2,11.4,7.8,8,94,151,39,100
Australia,3,3,7,0,2.3,2.3,1.9,6,54,98,8,52
Belgium,1,1,5,0,4.7,4.7,3.8,2,53,49,17,30
Brazil,8,6,6,0,12.0,11.2,8.2,3,106,102,37,63
Cameroon,4,4,8,1,3.4,3.4,2.0,4,53,47,12,32
Canada,1,1,8,0,4.2,3.6,2.8,7,54,76,12,33
Costa Rica,3,1,6,0,1.4,1.4,0.6,11,21,43,1,24
Croatia,8,8,8,0,7.0,7.0,5.6,7,153,161,30,90
Denmark,1,1,5,0,2.7,2.7,1.8,3,67,73,21,28
Ecuador,4,2,3,0,3.7,2.9,1.8,3,57,69,11,50
England,13,11,1,0,8.7,7.1,5.7,4,82,86,25,53
France,16,12,8,0,13.8,12.2,10.3,8,132,134,38,69
Germany,6,5,3,0,10.1,9.3,7.5,5,68,66,25,26
Ghana,5,2,8,0,4.1,3.4,1.7,7,49,56,13,46
Iran,4,2,7,0,3.2,2.8,2.4,7,48,56,8,38
Japan,5,4,6,0,5.0,5.0,3.5,4,55,71,19,58
Korea Republic,5,3,6,0,4.6,4.6,3.3,8,92,79,24,45
Mexico,2,1,7,0,3.3,3.3,2.7,3,79,63,16,51
Morocco,6,4,9,1,6.6,6.6,4.6,5,75,126,12,96
Netherlands,10,8,12,1,4.6,4.6,2.9,4,71,107,19,87
Poland,3,1,7,0,4.5,2.9,1.8,5,52,73,11,47
Portugal,12,10,6,0,7.8,6.2,5.2,6,102,93,28,55
Qatar,1,1,7,0,1.4,1.4,1.2,7,42,53,9,31
Saudi Arabia,3,2,14,0,3.0,2.1,1.4,5,39,59,8,56
Senegal,5,2,7,0,4.6,3.8,2.5,7,71,71,21,48
Serbia,5,4,12,0,3.4,3.4,2.9,8,56,58,9,43
Spain,9,5,2,0,6.2,5.4,4.0,3,69,102,21,41
Switzerland,5,4,9,0,5.6,5.6,3.6,9,52,83,20,53
Tunisia,1,1,5,0,2.3,2.3,1.9,1,61,94,21,40
United States,3,3,5,0,4.1,4.1,3.5,4,93,81,22,45
Uruguay,2,1,8,0,3.7,3.7,2.8,2,41,64,8,34
Wales,1,0,5,1,2.7,1.9,1.8,6,36,73,6,35
